test,issue,status,passed,detail
test_1_forward_return_correctness,C1,pass,True,"{""feb_is_nan"": true, ""jan->feb=2"": true, ""apr->may=5"": true, ""may_is_nan"": true}"
test_2_panel_cardinality,H2/H5,pass,True,"{""clean_pass"": true, ""dup_flagged_fail"": true, ""cardinality_report_written"": true}"
test_3_resume_equivalence,C2/C3,pass,True,"{""sidecar_roundtrip"": true, ""rejects_stale_manifest"": true}"
test_4_best_class_labeling,H1,pass,True,"{""row0_best"": ""gamma"", ""row1_best"": ""alpha"", ""source_column_ok"": true}"
test_5_idmethod_dtype,H3,pass,True,"{""canonicalized"": [""001"", ""101"", ""101"", ""101A"", ""method_foo""], ""dtype"": ""string"", ""guard_pass_on_string"": true, ""guard_fail_on_numeric"": true}"
test_6_k_eff_bounds,M1,pass,True,"{""k_correlated"": 2.0, ""k_independent"": 3.0, ""k_raw_k_method"": 3.0, ""bounds_1_to_kraw"": true}"
test_7_drop_keep_logic,sample spec,pass,True,"{""n_expanded"": 6, ""drop_n_removed"": 2, ""drop_dedupe_key"": ""idstate2,next_h_ym,idmethod,horizon,source_date_eom"", ""keep_kept_all"": true}"
test_8_subsample_stability,stability spec,pass,True,"{""stable_formal_p"": 0.368, ""unstable_formal_p"": 0.001996007984031936, ""stable_pass"": true, ""unstable_flagged_unstable"": true, ""method"": ""moving_block_bootstrap""}"
test_9_stability_calibration,stability spec,pass,True,"{""null_false_positive_rate"": 0.1, ""n_evaluable_seeds"": 200, ""n_seeds"": 200, ""alpha"": 0.05, ""fpr_within_band"": true, ""insufficient_obs_method"": ""none"", ""insufficient_obs_no_pass"": true, ""tiny_subsample_method"": ""moving_block_bootstrap""}"
test_10_resume_equivalence_e2e,C2/C3,pass,True,"{""clean_rows"": 5, ""resume_rows"": 5, ""sort_keys"": [""run_id""], ""shards_present"": [0, 1, 2, 3, 4], ""shards_killed"": [2, 3, 4], ""killed_sidecar_files"": 18, ""identity_keys_equal"": true, ""numeric_cols_compared"": 36, ""max_abs_diff"": 0.0, ""numeric_equal_atol_1e_9"": true}"
